g3_n_Logit,g3_n_Prob,g4_nh_Logit,g4_nh_Prob,committee_g34_MeanLogit,committee_g34_StdLogit,committee_g34_MeanProb,committee_g34_MaxProb,committee_g34_MinProb,committee_g34_SpreadProb,g3_n_x_g4_nh,g3_n_minus_g4_nh,Window_12M->18M,Window_12M->18M_x_g3_n_Logit,Window_12M->18M_x_g4_nh_Logit,Window_18M->24M,Window_18M->24M_x_g3_n_Logit,Window_18M->24M_x_g4_nh_Logit,Window_1M->3M,Window_1M->3M_x_g3_n_Logit,Window_1M->3M_x_g4_nh_Logit,Window_3M->6M,Window_3M->6M_x_g3_n_Logit,Window_3M->6M_x_g4_nh_Logit,Window_6M->12M,Window_6M->12M_x_g3_n_Logit,Window_6M->12M_x_g4_nh_Logit
-1.434784634281555,0.1923542773098042,-1.0633032876151032,0.2566786983785476,-1.249043960948329,0.26267697931215866,0.2245164878441759,0.2566786983785476,0.1923542773098042,0.06432442106874342,1.5256112186512107,-0.3714813466664517,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.434784634281555,-1.0633032876151032,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.520345694111422,0.1794106198330441,-1.8982652644080926,0.13030493820154393,-1.7093054792597573,0.26722949089988196,0.15485777901729403,0.1794106198330441,0.13030493820154393,0.04910568163150017,2.8860194210241237,0.37791957029667067,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.520345694111422,-1.8982652644080926,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.0972012887895717,0.25026465579063895,-1.6074971653899532,0.16693638927036547,-1.3523492270897624,0.36083367475566347,0.2086005225305022,0.25026465579063895,0.16693638927036547,0.08332826652027348,1.76374796159144,0.5102958766003816,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.0972012887895717,-1.6074971653899532,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.5897731085889452,0.3566869154242343,-2.012587128956373,0.1178876757502318,-1.301180118772659,1.0060814421691027,0.23728729558723305,0.3566869154242343,0.1178876757502318,0.23879923967400252,1.1869697673507005,1.422814020367428,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.5897731085889452,-2.012587128956373,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.081701775394986,0.25318410657950796,-1.4660546368144232,0.1875430305443909,-1.2738782061047047,0.27177851467813735,0.22036356856194944,0.25318410657950796,0.1875430305443909,0.06564107603511707,1.585833903468213,0.38435286141943714,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.081701775394986,-1.4660546368144232,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.5764663866605044,0.1712965101550292,-2.065206917410061,0.11252480180677013,-1.8208366520352828,0.3455917435337239,0.14191065598089966,0.1712965101550292,0.11252480180677013,0.058771708348259066,3.255729286795718,0.4887405307495567,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.5764663866605044,-2.065206917410061,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.5231736043575879,0.17899466534084404,-1.8032916350200323,0.14145084851571665,-1.66323261968881,0.19807335901403572,0.16022275692828036,0.17899466534084404,0.14145084851571665,0.03754381682512739,2.7467262194213506,0.28011803066244445,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.5231736043575879,-1.8032916350200323,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.5641211710284908,0.17305608093179298,-1.8112503735244512,0.14048707467861474,-1.6876857722764709,0.17474673491411705,0.15677157780520384,0.17305608093179298,0.14048707467861474,0.03256900625317824,2.833015055262856,0.24712920249596038,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.5641211710284908,-1.8112503735244512,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-1.2059844350128228,0.23041232997973807,-1.5952688353444788,0.1686438994821742,-1.400626635178651,0.2752656392846527,0.19952811473095614,0.23041232997973807,0.1686438994821742,0.061768430497563864,1.9238693850864752,0.389284400331656,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-1.2059844350128228,-1.5952688353444788,0.0,-0.0,-0.0,0.0,-0.0,-0.0
-0.989891564525263,0.27093349621932505,-1.5751529295658417,0.17148304116984783,-1.2825222470455524,0.4138422799866887,0.22120826869458643,0.27093349621932505,0.17148304116984783,0.09945045504947722,1.5592305978144825,0.5852613650405788,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.989891564525263,-1.5751529295658417,0.0,-0.0,-0.0,0.0,-0.0,-0.0
