main_model,gate_feature,quantile,direction,cutoff,gate_rate,specialist,train_acc,train_bacc,train_f1,train_auc,threshold
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.65,high,3.397085009998601,0.34968553459119495,Elastic,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8498746614418256,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.8,high,9.179,0.2,Elastic,0.8062893081761007,0.7715416642655448,0.6932270916334662,0.8480738200887454,0.4149999999999998
Elastic+LGBM Blend,TGAb,0.85,high,604.6999999999997,0.1509433962264151,Elastic,0.8062893081761007,0.7655556676079065,0.6857142857142857,0.8385149541865959,0.4149999999999998
Elastic+LGBM Blend,TRAb_x_FT3_last,0.85,high,215.39882,0.1509433962264151,Elastic,0.8050314465408805,0.7795878234311071,0.7024952015355086,0.8497594075952284,0.4149999999999998
Elastic+LGBM Blend,TGAb,0.85,high,604.6999999999997,0.1509433962264151,ET,0.8050314465408805,0.7765948251022878,0.6990291262135923,0.8442776465164525,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.8,high,9.179,0.2,LGBM,0.8050314465408805,0.7755971589926813,0.6978557504873294,0.8554500662709618,0.4149999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.9,high,55.885000000000005,0.10062893081761007,LGBM,0.8050314465408805,0.7736018267734686,0.6954813359528488,0.846625943640869,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.9,high,55.889,0.10062893081761007,LGBM,0.8050314465408805,0.7736018267734686,0.6954813359528488,0.846625943640869,0.4149999999999998
Elastic+LGBM Blend,TSH_3M,0.65,high,2.413730422058349,0.35094339622641507,ET,0.8050314465408805,0.7736018267734686,0.6954813359528488,0.8401429147697805,0.4149999999999998
Elastic+LGBM Blend,D_TSH_3M-0M,0.65,high,2.408830422058349,0.34968553459119495,ET,0.8050314465408805,0.7736018267734686,0.6954813359528488,0.8400636777502449,0.4149999999999998
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.65,high,3.397085009998601,0.34968553459119495,ET,0.8050314465408805,0.7736018267734686,0.6954813359528488,0.8400636777502449,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_TSH_last_plus1,0.85,high,22.345617529880474,0.1509433962264151,Elastic,0.8050314465408805,0.7726041606638621,0.6942800788954635,0.8512577076009913,0.4149999999999998
Elastic+LGBM Blend,FT4_last_over_TSH_last_plus1,0.9,high,25.970119521912352,0.10062893081761007,Elastic,0.8050314465408805,0.7726041606638621,0.6942800788954635,0.8483655563879444,0.4149999999999998
Elastic+LGBM Blend,TSH_mean,0.85,high,13.551866666666665,0.1509433962264151,ET,0.8050314465408805,0.7726041606638621,0.6942800788954635,0.8427505330490406,0.4149999999999998
Elastic+LGBM Blend,TSH_last_over_0M_plus1,0.85,high,38.16434262948205,0.1509433962264151,ET,0.8050314465408805,0.7726041606638621,0.6942800788954635,0.8426640926640926,0.4149999999999998
Elastic+LGBM Blend,TSH_last_minus_prev,0.85,high,36.503499999999995,0.1509433962264151,ET,0.8050314465408805,0.7726041606638621,0.6942800788954635,0.8423831614130122,0.4149999999999998
