Task,Domain,Domain_Label,Model,Metric_Key,Metric,Value,Threshold,N,Events
Stage2 binary_early_late,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7073170731707317,0.13999999999999999,514,41
Stage2 binary_early_late,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8033826638477801,0.13999999999999999,514,41
Stage2 binary_early_late,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3558282208588957,0.13999999999999999,514,41
Stage2 binary_interval_intercept_calibrated,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.22631199872983634,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.812091026613401,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5976331360946746,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8287493513233005,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Train_Fit,Train Fit,Elastic LR,f1,F1,0.33666666666666667,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.21978933358102098,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7991144219638093,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5443786982248521,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8443175921120913,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.32798573975044565,0.13999999999999999,2096,169
Stage2 binary_interval_intercept_calibrated,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.344956045078338,0.13999999999999999,514,41
Stage2 binary_interval_intercept_calibrated,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8503068117361936,0.13999999999999999,514,41
Stage2 binary_interval_intercept_calibrated,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7073170731707317,0.13999999999999999,514,41
Stage2 binary_interval_intercept_calibrated,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8224101479915433,0.13999999999999999,514,41
Stage2 binary_interval_intercept_calibrated,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.37662337662337664,0.13999999999999999,514,41
Stage2 binary_rule_aux,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.2250124865481499,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8131596159219808,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.6449704142011834,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.7976128697457188,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3263473053892216,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.21736535280426503,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.7995013249893295,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.621301775147929,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.809548521017125,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.32761310452418096,0.12999999999999998,2096,169
Stage2 binary_rule_aux,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.32871286029481206,0.12999999999999998,514,41
Stage2 binary_rule_aux,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8478316918475738,0.12999999999999998,514,41
Stage2 binary_rule_aux,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.7073170731707317,0.12999999999999998,514,41
Stage2 binary_rule_aux,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.7970401691331924,0.12999999999999998,514,41
Stage2 binary_rule_aux,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3493975903614458,0.12999999999999998,514,41
Stage2 binary_early_late_calibrated,Train_Fit,Train Fit,Elastic LR,prauc,PR-AUC,0.24010642401722257,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Train_Fit,Train Fit,Elastic LR,auc,AUC,0.8156253550449392,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Train_Fit,Train Fit,Elastic LR,recall,Sensitivity,0.5739644970414202,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Train_Fit,Train Fit,Elastic LR,specificity,Specificity,0.8417228853139596,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Train_Fit,Train Fit,Elastic LR,f1,F1,0.3397548161120841,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Validation_OOF,Validation OOF,Elastic LR,prauc,PR-AUC,0.22373694835803082,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Validation_OOF,Validation OOF,Elastic LR,auc,AUC,0.80640416627004,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Validation_OOF,Validation OOF,Elastic LR,recall,Sensitivity,0.5384615384615384,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Validation_OOF,Validation OOF,Elastic LR,specificity,Specificity,0.8583290088220031,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Validation_OOF,Validation OOF,Elastic LR,f1,F1,0.34146341463414637,0.14999999999999997,2096,169
Stage2 binary_early_late_calibrated,Test_Temporal,Temporal Test,Elastic LR,prauc,PR-AUC,0.3297813218814509,0.14999999999999997,514,41
Stage2 binary_early_late_calibrated,Test_Temporal,Temporal Test,Elastic LR,auc,AUC,0.8425720620842572,0.14999999999999997,514,41
Stage2 binary_early_late_calibrated,Test_Temporal,Temporal Test,Elastic LR,recall,Sensitivity,0.6585365853658537,0.14999999999999997,514,41
Stage2 binary_early_late_calibrated,Test_Temporal,Temporal Test,Elastic LR,specificity,Specificity,0.8350951374207188,0.14999999999999997,514,41
Stage2 binary_early_late_calibrated,Test_Temporal,Temporal Test,Elastic LR,f1,F1,0.3698630136986301,0.14999999999999997,514,41
